"handle","title","status","queries","impr","clicks"
"easy-setup-badminton-set","Easy Setup Badminton Set - RENTAL","ARCHIVED",5,62,0
"giant-nylon-tic-tac-toe-game","Giant Tic Tac Toe Game - RENTAL","ARCHIVED",16,62,0
"gatorade-zero-electrolyte-powder-packets-10-pack","Gatorade Zero Electrolyte Powder Packets • 10 Pack","ARCHIVED",37,62,0
"fizzique-keto-protein-sparkling-water-tropical-limon-12oz","Fizzique Keto Protein Sparkling Water Tropical Limon • 12fl oz Can","ARCHIVED",8,62,1
"waterboy-hydration-weekend-recovery-lemon-lime-12-pk","WaterBoy Hydration + Weekend Recovery Lemon Lime • 12 Pack","ARCHIVED",28,62,0
"olipop-doctor-goodwin-soda-12oz","Olipop Doctor Goodwin Soda • 12fl oz Can","ARCHIVED",18,60,0
"white-blank-canvas-tote-bags","White Blank Canvas Tote Bags","ARCHIVED",23,57,0
"pepto-bismol","Pepto Bismol • 354ml Bottle","ARCHIVED",16,54,0
"mi-mama-me-dijo-mezcal","Mi Mama Me Dijo Mezcal • 750ml","ARCHIVED",12,54,0
"american-flag-tablecloth-54x108","American Flag Tablecloth • 54""x108""","ARCHIVED",8,51,0
"pop-up-canopy-tent","Pop Up Canopy Tent - RENTAL","ARCHIVED",18,51,0
"stainless-steel-cocktail-picks","Stainless Steel Cocktail Picks","ARCHIVED",7,51,0
"rum-punch-gallon-dispenser-kit-25-drinks-per-dispenser","Rum Punch Cocktail Kit - Serves 20","ARCHIVED",20,48,0
"h-e-b-half-half-16oz","Half & Half • 32oz Bottle","ARCHIVED",19,48,0
"calmezzi-spiced-non-alcoholic-spirit-750ml-bottle","Calmezzi Spiced Non-Alcoholic Spirit • 750ml Bottle","ARCHIVED",12,47,0
"wavy-potato-chips","Wavy Potato Chips • 397g","ARCHIVED",8,47,0
"spikeball-roundnet-game-set","Spikeball Game Set - RENTAL","ARCHIVED",10,47,0
"deep-eddy-lemon-50ml","Deep Eddy Lemon • 50ml Bottle","ARCHIVED",28,41,0
"laphroaig-single-malt-10year-750ml","Laphroaig Single Malt 10yr • 750ml Bottle","ARCHIVED",3,41,0
"but-did-you-die-hangover-gift-bags","""But Did You Die"" Hangover Gift Bags","ARCHIVED",6,39,0
"hawaiian-brand-sweet-maui-onion-chips-party-size","Hawaiian Brand Sweet Maui Onion Chips • 16oz Party Size Bag","ARCHIVED",19,37,0
"blue-moon-moon-haze","Blue Moon Moon Haze • 6 Pack 12oz Can","ARCHIVED",10,36,0
"inflatable-pool-ring-toss","Inflatable Pool Ring Toss","ARCHIVED",5,36,0
"pineapple-juice-6oz-cans-6pack","Pineapple Juice • 6 Pack 6oz Can","ARCHIVED",21,35,0
"organic-lemon-juice-12oz","Organic Lemon Juice • 12.5oz Bottle","ARCHIVED",2,34,0
"sparkling-ice-strawberry-lemonade","Sparkling Ice Strawberry Lemonade • 17oz Bottle","ARCHIVED",15,32,0
"big-hat-nojito-mocktail-4-pack-12oz","Big Hat Nojito Mocktail • 4 Pack 12oz","ARCHIVED",2,32,0
"32-pack-bottled-water-16-9oz","(NOT IN DB)","NOT_IN_DB",6,31,0
"burlap-bag","Burlap Bag","ARCHIVED",5,28,0
"dos-equis-lager-6-pack","Dos Equis Lager • 6 Pack 12oz Can","ARCHIVED",16,28,0
