"handle","title","status","queries","impr","clicks"
"bulleit-straight-bourbon-frontier-whiskey-6-yr-90-750ml","Bulleit Straight Bourbon Frontier Whiskey 6 Yr 90 • 750ml Bottle","ARCHIVED",1,1,0
"california-sober-gardening-gift-basket","California Sober/Gardening Gift Basket","ARCHIVED",1,1,0
"car-coasters-blanks","Blank Car Coasters","ARCHIVED",1,1,0
"cinnamon-sticks","Cinnamon Sticks · 0.75oz","ARCHIVED",1,1,0
"cinnamon-sugar","Cinnamon Sugar · 3.5oz","ARCHIVED",1,1,0
"colorful-foldable-wine-corkscrew","Wine Corkscrew","ARCHIVED",1,1,0
"cowgirl-disco-bandana-w-frills","Cowgirl Disco Bandana","ARCHIVED",1,1,0
"cuba-libre-single-cocktail-kit","Cuba Libre Cocktail Kit - Single Serve","ARCHIVED",1,1,0
"cutwater-espresso-martini-4-pack-12oz","Cutwater Espresso Martini • 4 Pack 12oz Can","ARCHIVED",1,1,0
"desert-door-oak-aged-texas-sotol-100-50ml","Desert Door Oak Aged Texas Sotol 100 • 50ml Bottle","ARCHIVED",1,1,0
"diet-coca-cola-12-pack-12oz-can","Diet Coca-Cola • 12 Pack 12oz Can","ARCHIVED",1,1,0
"extra-large-recliner-pool-lounger","Recliner Pool Lounger • 3XL","ARCHIVED",1,1,0
"fancy-pineapple-cups-25oz","Fancy Pineapple Cups • 25oz","ARCHIVED",1,1,0
"fever-tree","Fever Tree • 200ml Bottle","ARCHIVED",1,1,0
"fiora-towel-giant-roll","Fiora Towel Giant Roll","ARCHIVED",1,1,0
"heart-shaped-wine-stopper","Heart-Shaped Wine Stopper","ARCHIVED",1,1,0
"hella-bitters-combo-pack","Hella Bitters Combo Pack • 1.7oz Bottle","ARCHIVED",1,1,0
"liquid-death-severed-lime","Liquid Death Severed Lime • 500ml Can","ARCHIVED",1,1,0
"native-texan-pilsner-6pack","Native Texan Pilsner • 6 Pack 12fl oz Can","ARCHIVED",1,1,0
"nine-banded-straight-bourbon-whiskey","Nine Banded Straight Bourbon Whiskey  • 750ml Bottle","ARCHIVED",1,1,0
"oversized-blanket-dark-grey","Oversized Blanket • Dark Grey","ARCHIVED",1,1,0
"oversized-king-fleece-blanket","Oversized King Fleece Blanket","ARCHIVED",1,1,0
"party-on-yall-koozie","Party On Y'all Koozie","ARCHIVED",1,1,0
"peppermint-martini","Peppermint Martini Cocktail Kit","ARCHIVED",1,1,0
"pilsner-urquell-6pack","Pilsner Urquell • 6 Pack 11.2 fl oz. Bottle","ARCHIVED",1,1,0
"pinnacle-375ml","Pinnacle Vodka • 375ml Bottle","ARCHIVED",1,1,0
"pitcher-with-recipes","Pitcher with Recipes","ARCHIVED",1,1,0
"plastic-martini-glasses","Plastic Martini Glasses","ARCHIVED",1,1,0
"pool-float-chairs-3-pack","Pool Float Chairs • 3 Pack","ARCHIVED",1,1,0
"portable-cornhole-game-set","PVC Framed Cornhole Set - RENTAL","ARCHIVED",1,1,0
"pumpkin-pie-martini","Pumpkin Pie Martini Cocktail Kit","ARCHIVED",1,1,0
"rainbow-black-foil-tablecloth-wedding-party-decor","Holographic Glitter Plastic Tablecover •  54""x108""","ARCHIVED",1,1,0
"recliner-pool-lounger-2xl","Recliner Pool Lounger • 2XL","ARCHIVED",1,1,0
"run-it-back-chiefs-cocktail-kit-2-drink-kit","Run it Back Chiefs Cocktail Kit - Serves 2","ARCHIVED",1,1,0
"rwb-star-sunglasses","RWB Star Sunglasses","ARCHIVED",1,1,0
"saint-arnold-hideaway-6-pack","Saint Arnold Hideaway • 6 Pack 12oz Can","ARCHIVED",1,1,0
"silver-star-balloons","Foil Burst Balloon","ARCHIVED",1,1,0
"st-agrestis-non-alcoholic-phony-negroni-2pack-200ml","St. Agrestis Non-Alcoholic Phony Negroni 2Pack 200ml","ARCHIVED",1,1,0
"stemless-wine-glass-rental","Stemless Wine Glass - Rental","ARCHIVED",1,1,0
"sticker-of-your-friends-face","Sticker of your friend's face!","ARCHIVED",1,1,0
"teacup-candle-w-saucer","Teacup Candle With Saucer","ARCHIVED",1,1,0
"thirsty-planet-thirsty-goat-6-pack-12oz-can-copy","Sam Adams Winter Lager • 6 Pack 12oz Bottles","ARCHIVED",1,1,0
"topo-chico-twist-of-lime-15oz-bottle","Topo Chico Twist of Lime • 15oz Bottle","ARCHIVED",1,1,0
"truly-hard-seltzer-lemonade-variety-pack-12-pack","TRULY Lemonade Variety Pack • 12 Pack 12oz Can you","ARCHIVED",1,1,0
"twisted-tea-half-half-hard-tea","Twisted Tea Half & Half Hard Tea • 12 Pack 12oz Can","ARCHIVED",1,1,0
"twisted-tea-light-variety","Twisted Tea Light Variety (Lemon) • 12 Pack 12oz Can","ARCHIVED",1,1,0
"usa-plates-napkins-50-of-each-6-5-plates","USA Plates & Napkins • 6.5 inches, 25-Piece Bundle","ARCHIVED",1,1,0
"white-bride-straw","White Bride Straw","ARCHIVED",1,1,0
"white-claw-ruby-grapefruit-12oz-6-pack-can","White Claw Ruby Grapefruit • 6 Pack 12oz Can","ARCHIVED",1,1,0
"zebra-pool-float-with-lights","Zebra Pool Float with Lights","ARCHIVED",1,1,0
"sprite-20oz-bottle","Sprite • 20oz Bottle","ARCHIVED",1,1,0
"adictivo-extra-anejo-tequila-750ml","Adictivo Extra Anejo Tequila • 750ml Bottle","ARCHIVED",1,1,0
"don-julio-tequila-blanco-1-75l-bottle","Don Julio Tequila Blanco • 1.75L Bottle","ARCHIVED",1,1,0
"fat-tire","Fat Tire • 12 Pack 12oz Can","ARCHIVED",1,1,0
"ace-of-spades-ss-bottle-opener","Ace of Spades SS Bottle Opener","ARCHIVED",1,1,0
"pool-float-volleyball-basketball-set","Pool Float Volleyball & Basketball Set","ARCHIVED",1,1,0
"acopa-1-oz-2-oz-stainless-steel-classic-jigger","Acopa 1 oz.& 2 oz. Stainless Steel Classic Jigger","ARCHIVED",1,1,0
"disco-ball-balloons","Disco Ball Balloons","ARCHIVED",1,1,0
"1-gallon-glass-drink-dispenser-rental","1 Gallon Glass Drink Dispenser - Rental","ARCHIVED",1,1,0
"verde-punch-cocktail-kit","Verde Punch Cocktail Kit","ARCHIVED",1,1,0
"dripping-spring-vodka-80-proof","(NOT IN DB)","NOT_IN_DB",1,1,0
"estrella-jalisco-12oz-12-pack-can","Estrella Jalisco • 12 Pack 12oz Can","ARCHIVED",1,1,0
"vizzy-variety-pack","Vizzy Tropical Variety • 12 Pack 12oz Can","ARCHIVED",1,1,0
"dekuyper-watermelon-pucker-1l","DeKuyper Watermelon Pucker • 1L Bottle","ARCHIVED",1,1,0
"sugar-free-red-bull","Sugar Free Red Bull • 250ml Can","ARCHIVED",1,1,0
"pacifico","(NOT IN DB)","NOT_IN_DB",1,1,0
"mermaid-scale-sequin-glitter-tablecloth-pink","Pink Sequin Tablecloth","ARCHIVED",1,1,0
"red-bull-250ml-can","Red Bull • 250ml Can","ARCHIVED",1,1,0
"spice-islands-pumpkin-pie-spice-2oz","Pumpkin Pie Spice • 1.7oz","ARCHIVED",1,1,0
"tuxedo-shot-glasses","Tuxedo Shot Glasses","ARCHIVED",1,1,0
